id,name,college_code,percentage
18887,Janeczka,IZ,21.77
18888,Nannie,HK,37.41
18889,Wendi,XF,27.25
18890,Mellicent,SX,0.7
18891,Lory,FE,50.01
18892,Dorthy,DS,52.95
18893,Hettie,DF,45.92
18894,Ermengarde,AO,14.41
18895,Bill,NS,58.3
18896,Mariele,UN,85.58
18897,Jemie,WM,33.17
18898,Elena,AP,59.83
18899,Nerta,IL,66.19
18900,Roseline,SO,53.39
18901,Talya,AC,59.02
18902,Raina,ZQ,84.61
18903,Jeanna,WX,56.19
18904,Mildrid,ZP,67.86
18905,Flo,JF,45.41
18906,Chloris,JC,5.19
18907,Imojean,GE,64.51
18908,Audrie,TR,14.05
18909,Dolli,AJ,22.21
18910,Candi,DF,30.89
18911,Perry,TE,40.13
18912,Louella,PA,8.67
18913,Sallie,JI,65.43
18914,Verla,DK,77.14
18915,Bill,UT,84.16
18916,Penelopa,GM,31.29
18917,Corina,GH,65.27
18918,Cathyleen,EV,76.57
18919,Kara-Lynn,CA,27.14
18920,Karolina,WJ,70.72
18921,Binny,HN,88.36
18922,Meg,BG,19.45
18923,Hallie,VN,25.56
18924,Michaelina,BR,72.75
18925,Yetty,ZC,65.86
18926,Meg,NV,43.19
18927,Helena,ZR,25.33
18928,Claresta,VQ,15.21
18929,Raquela,DN,48.38
18930,Tracey,FS,72.34
18931,Kaia,PV,63.76
18932,Karlee,DW,70.92
18933,Leia,WO,59.22
18934,Winifred,LW,99.83
18935,Kenna,DK,21.41
18936,Tobe,SM,66.31
18937,Meghann,BF,44.84
18938,Lucy,MF,97.46
18939,Charissa,YR,44.2
18940,Annice,ZR,2.63
18941,Ginnie,UJ,43.72
18942,Bernie,SS,95.1
18943,Ira,IX,53.35
18944,Tomasina,HU,77.4
18945,Atlanta,WA,19.9
18946,Alex,GW,100.25
18947,Cristine,ZD,74.04
18948,Cassandra,XW,16.18
18949,Anthia,FJ,44.39
18950,Audrie,AG,33.54
18951,Betta,YT,17.44
18952,Caryl,GF,71.72
18953,Maurene,TL,36.08
18954,Kathi,JX,34.43
18955,Ekaterina,SO,45.3
18956,Linzy,KT,77.6
18957,Collen,MI,80.8
18958,Frieda,ZG,52.85
18959,Fidelia,LT,25.83
18960,Veda,MT,65.63
18961,Starla,BV,12.65
18962,Marguerite,OZ,81.06
18963,Roberta,PS,1.01
18964,Amelia,SY,61.56
18965,Kristina,XE,75.44
18966,Yvonne,EI,97.52
18967,Barbi,EE,41.83
18968,Dale,UP,67.46
18969,Tierney,ZP,16.62
18970,Nicoli,AN,28.39
18971,Amalie,CI,17.96
18972,Jean,BM,97.25
18973,Maye,WK,52.36
18974,Fina,AX,80.92
18975,Lenna,TQ,12.73
18976,Christy,BW,8.87
18977,Atlanta,ZK,63.73
18978,Cristine,LL,70.31
18979,Mureil,HH,68.42
18980,Dione,YW,49.12
18981,Lizzie,CX,67.77
18982,Lily,EH,83.75
18983,Vanessa,EI,0.91
18984,Shannah,SS,89.09
18985,Nananne,UN,66.81
18986,Marjie,TH,6.5
18987,Frieda,PB,33.47
18988,Selma,MP,7.19
18989,Lanna,QF,29.67
18990,Melisent,ED,61.8
18991,Myrtice,KC,3.48
18992,Marnia,PB,51.11
18993,Ninnetta,HD,61.14
18994,Anallese,OY,98.29
18995,Candi,NY,96.61
18996,Rori,QJ,91.77
18997,Jsandye,PH,43.25
18998,Tina,BO,99.66
18999,Darci,OA,47.58
19000,Ariela,UR,78.26
19001,Bernardine,ST,30.29
19002,Harmonia,UO,35.01
19003,Kathy,FK,3.68
19004,Gilligan,TW,40.03
19005,Deirdre,FE,68.34
19006,Catrina,FG,45.72
19007,Henriette,LY,80.94
19008,Ekaterina,QD,89.68
19009,Penelopa,UN,70.47
19010,Viviene,MS,81.78
19011,Anestassia,VZ,42.77
19012,Genovera,LL,56.79
19013,Caritta,GD,71.32
19014,Zaria,ZI,87.94
19015,Mary,EP,83.66
19016,Alejandra,RF,92.75
19017,Yolane,FK,84.15
19018,Nicoli,XO,21.36
19019,Mariann,CW,2.69
19020,Doro,JV,65.97
19021,Meg,JZ,34.8
19022,Korrie,IX,100.22
19023,Allis,LX,81.72
19024,Kamilah,CV,76.84
19025,Miquela,CW,46.54
19026,Ruthe,PT,48.91
19027,Oona,TA,93.82
19028,Bettine,SE,100.73
19029,Barbara,XR,88.07
19030,Briney,TK,90.49
19031,Elka,LZ,64.31
19032,Lorenza,WZ,38.2
19033,Valli,VQ,90.07
19034,Eolanda,XT,28.66
19035,Penelopa,RG,97.76
19036,Sharlene,AM,36.65
19037,Jaclyn,AA,28.55
19038,Jean,QD,12.98
19039,Lizzie,AQ,82.16
19040,Lanae,ZI,90.13
19041,Liana,CD,3.61
19042,Elfreda,DH,39.14
19043,Feliza,JH,13.09
19044,Hildegaard,BI,55.83
19045,Veda,YX,100.06
19046,Celisse,SF,64.84
19047,Catharine,RZ,41.57
19048,Moyna,LC,16.11
19049,Bettine,PH,76.57
19050,Sindee,QL,98.25
19051,Dede,ZO,34.55
19052,Caryl,CA,47.73
19053,Marika,CY,1.94
19054,Juliane,EZ,70.62
19055,Dode,ZT,70.05
19056,Tamqrah,YZ,73.73
19057,Kathi,YE,53.19
19058,Joeann,PU,78.87
19059,Hallie,BR,1.8
19060,Penelopa,WU,19.7
19061,Theodora,II,8.31
19062,Madalyn,BN,0.65
19063,Ardeen,IY,93.19
19064,Dacia,HL,17.91
19065,Malina,WP,57.01
19066,Ardenia,KY,57.47
19067,Heida,XE,10.36
19068,Amelia,MN,31.11
19069,Tani,KW,1.83
19070,Bernie,NV,28.58
19071,Jasmina,BW,18.58
19072,Gerrie,JB,63.35
19073,Feliza,BE,97.08
19074,Shaylyn,PL,49.9
19075,Carolina,YT,21.83
19076,Noelle,KG,56.89
19077,Babita,ZP,83.23
19078,Kathy,MA,30.79
19079,Beth,NX,47.66
19080,Alisha,IY,78.45
19081,Orsola,TU,72.86
19082,Codie,HT,40.74
19083,Marline,HQ,88.24
19084,Ricky,BH,67.69
19085,Marleah,PL,54.94
19086,Sandie,WN,12.58
19087,Shannah,BZ,66.7
19088,Queenie,OK,16.8
19089,Pollyanna,ZJ,31.59
19090,Viki,LH,88.67
19091,Nonnah,QD,53.71
19092,Miquela,HT,30.35
19093,Karlee,DV,43.3
19094,Elsie,IF,6.82
19095,Kaja,AM,30.32
19096,Alleen,JU,98.58
19097,Priscilla,FO,38.7
19098,Devina,MH,6.05
19099,Magdalena,DV,40.63
19100,Ottilie,LA,3.74
19101,Almeta,NK,75.73
19102,Aigneis,SC,50.51
19103,Joane,ZF,42.36
19104,Amelia,GX,42.49
19105,Kelly,EV,17.67
19106,Atlanta,PJ,37.26
19107,Marti,JU,34.58
19108,Madalyn,AM,97.27
19109,Esmeralda,ND,32.96
19110,Heida,FV,40.31
19111,Flory,LN,73.03
19112,Peri,EU,25.44
19113,Joleen,NC,25.22
19114,Juliane,QI,27.26
19115,Ada,PM,65.89
19116,Ebonee,QU,94.57
19117,Genovera,TZ,1.58
19118,Florencia,DE,15.33
19119,Sashenka,XI,82.91
19120,Sallie,EI,85.71
19121,Regina,DS,50.54
19122,Correy,IF,24.09
19123,Neila,NW,23.15
19124,Micheline,CF,5.19
19125,Lucille,SF,19.68
19126,Olivette,UC,52.75
19127,Aimil,CA,46.71
19128,Dennie,GS,44.69
19129,Concettina,LO,48.78
19130,Dede,LB,23.74
19131,Rayna,FL,37.63
19132,Elbertina,VM,40.86
19133,Jackie,ME,1.76
19134,Cassondra,SG,5.9
19135,Nelle,ZZ,71.24
19136,Aigneis,SW,87.75
19137,Elsie,MO,21.39
19138,Josephine,II,2.97
19139,Stephanie,OZ,5.81
19140,Marcy,AS,75.69
19141,Leona,WL,3.08
19142,Bill,PV,73.98
19143,Fayre,LI,77.28
19144,Meghann,XT,31.17
19145,Ricky,WU,8.83
19146,Amara,BD,33.17
19147,Winifred,VS,59.94
19148,Christian,BC,54.51
19149,Christal,ST,3.35
19150,Clementine,QK,8.07
19151,Jessy,NK,49.39
19152,Minda,GU,31.22
19153,Gui,DK,64.85
19154,Darci,AM,17.53
19155,Mureil,MC,15.04
19156,Goldie,QZ,22.48
19157,Glynnis,WR,84.31
19158,Tatiania,VU,58.22
19159,Jasmina,SD,82.36
19160,Magdalena,BG,59.28
19161,Verla,JA,24.69
19162,Ileana,FQ,7.37
19163,Dari,VQ,44.79
19164,Dacia,DI,93.03
19165,Valera,BD,86.38
19166,Claudina,IV,9.84
19167,Robbi,RZ,14.8
19168,Dode,IX,28.74
19169,Tarra,QL,47.93
19170,Kristan,JK,15.08
19171,Joeann,DP,32.96
19172,Consuela,ZT,84.47
19173,Patricia,SI,53.07
19174,Jaime,GI,11.06
19175,Alie,MU,16.22
19176,Vonny,GV,13.07
19177,Arlena,EZ,95.37
19178,Ronna,DF,6.98
19179,Darlleen,KK,13.2
19180,Chere,HT,91.11
19181,Katuscha,SE,37.63
19182,Lynea,PR,45.72
19183,Joceline,LB,6.81
19184,Cherrita,LO,34.54
19185,Mahalia,WW,83.2
19186,Charissa,YK,46.84
19187,Jerry,NX,93.96
19188,Norine,BV,41.74
19189,Helena,HM,28.7
19190,Liana,AK,90.7
19191,Desirae,KT,8.81
19192,Pamella,SK,3.78
19193,Lisette,IH,5.59
19194,Vivia,JL,67.8
19195,Siana,YP,20.92
19196,Annabela,UH,65.96
19197,Shaine,ZS,73.52
19198,Marguerite,QH,8.88
19199,Mallory,TR,91.32
19200,Corly,SY,98.41
19201,Rosene,YN,98.33
19202,Orelia,LS,77.91
19203,Brietta,KF,22.58
19204,Carmela,NQ,10.44
19205,Ashlee,MK,45.72
19206,Celene,FP,69.24
19207,Elora,VE,6.37
19208,Katharina,LG,17.52
19209,Cordi,OO,84.88
19210,Monika,TZ,27.95
19211,Marcelline,HL,12.64
19212,Lisette,IK,2.29
19213,Kimberley,SP,55.04
19214,Margalo,KN,58.21
19215,Orelia,ZS,22.69
19216,Jinny,AX,94.44
19217,Amalie,HQ,51.49
19218,Sherrie,MG,67.99
19219,Rosene,PU,47.99
19220,Vinita,DC,53.28
19221,Nadine,EQ,80.69
19222,Asia,ZL,37.71
19223,Rayna,PO,83.62
19224,Gwenneth,JY,40.94
19225,Mary,PA,45.83
19226,Perry,FX,87.59
19227,Melanie,EN,49.1
19228,Johna,CB,93.45
19229,Gavrielle,HN,37.11
19230,Jolyn,RK,85.09
19231,Paule,XE,27.86
19232,Drucie,TC,66.98
19233,Carmencita,DH,37.36
19234,Neila,KM,53.02
19235,Morganica,AE,15.17
19236,Tori,RR,64.65
19237,Maye,UR,57.58
19238,Kittie,UY,36.62
19239,Jackie,NJ,53.81
19240,Pierette,YF,50.45
19241,Trixi,GG,9.92
19242,Gui,XO,49.51
19243,Lulita,UJ,25.13
19244,Vonny,ZK,95.39
19245,Evita,RK,32.67
19246,Ira,XJ,44.07
19247,Cyb,CD,79.02
19248,Augustine,KX,36.37
19249,Neila,NT,73.15
19250,Ilse,DG,21.24
19251,Gwenneth,CG,15.31
19252,Janenna,TF,83.46
19253,Bernardine,ES,81.5
19254,Camile,EO,59.8
19255,Britte,WY,70.43
19256,Ernesta,RX,16.62
19257,Fidelia,MM,61.43
19258,Dorice,PM,58.86
19259,Vere,MW,40.19
19260,Alisha,HV,16.06
19261,Stephanie,WE,22.1
19262,Lory,BT,89.01
19263,Janis,KQ,31.01
19264,Starla,HY,53.5
19265,Jorry,YM,57.07
19266,Moyna,BG,75.76
19267,Andeee,SP,63.85
19268,Theodora,OW,13.26
19269,Joy,MU,37.68
19270,Kassey,NG,39.81
19271,Mahalia,FC,8.14
19272,Heddie,ER,19.92
19273,Carmela,XN,33.44
19274,Ana,JY,66.61
19275,Angelique,VO,3.04
19276,Norine,NU,0.1
19277,Kimmy,ON,21.69
19278,Carmela,YJ,77.18
19279,Jillayne,ZW,55.87
19280,Marti,IT,20.85
19281,Gerrie,AU,17.62
19282,Charlena,FT,23.92
19283,Korrie,QQ,79.61
19284,Paola,MH,95.27
19285,Florencia,YG,42.21
19286,Gianina,UF,2.43
19287,Tybie,WC,48.63
19288,Ofilia,QT,31.88
19289,Felice,ZD,58.59
19290,Etta,QU,90.22
19291,Sophia,YY,75.64
19292,Kial,TX,14.9
19293,Cissiee,YO,96.73
19294,Collen,WX,71.93
19295,Edyth,MW,24.06
19296,Ricky,JZ,59.42
19297,Belinda,KS,4.23
19298,Millie,RM,7.47
19299,Marnia,QD,98.85
19300,Antonietta,CV,29.59
19301,Concettina,JT,96.61
19302,Renae,DM,0.62
19303,Clary,BY,91.49
19304,Bertine,EF,33.66
19305,Vinita,KX,25.51
19306,Therine,SS,64.85
19307,Madalyn,KK,79.3
19308,Corene,GR,18.04
19309,Aaren,ID,96.23
19310,Karina,XX,2.22
19311,Gwyneth,FI,30.65
19312,Giustina,UG,18.51
19313,Dagmar,IN,13.13
19314,Nicoli,LR,81.17
19315,Leona,GM,77.49
19316,Harmonia,SK,79.6
19317,Mellicent,VA,2.86
19318,Dorice,EQ,99.9
19319,Agathe,MM,69.63
19320,Renae,DL,48.81
19321,Siana,SI,10.43
19322,Misha,QE,95.36
19323,Alameda,KI,6.24
19324,Mildrid,KY,77.98
19325,Mellicent,IS,57.39
19326,Flo,OU,31.33
19327,Susan,RX,5.13
19328,Lyssa,EW,10.92
19329,Rozele,WA,62.94
19330,Arlena,MM,100.92
19331,Jacquetta,YT,77.04
19332,Flory,IH,4.87
19333,Fayre,HF,45.93
19334,Sheree,AU,73.41
19335,Maye,OH,75.74
19336,Jsandye,BC,83.49
19337,Christian,DJ,43.29
19338,Jinny,RP,41.8
19339,Berget,HR,55.64
19340,Fina,RP,83.58
19341,Sabina,VW,26.89
19342,Laurene,MH,19.71
19343,Gabriellia,JF,33.09
19344,Evita,BU,74.6
19345,Tamqrah,OU,42.93
19346,Melodie,FU,52.8
19347,Fawne,ST,57.45
19348,Mireielle,ED,76.96
19349,Lanna,MO,38.6
19350,Aryn,PQ,83.96
19351,Paule,DZ,45.2
19352,Kaja,CT,72.61
19353,Tera,HZ,93.94
19354,Delilah,EZ,72.3
19355,Maud,PX,19.35
19356,Alleen,RU,5.5
19357,Elfreda,TT,20.43
19358,Addia,AE,34.18
19359,Elie,US,40.97
19360,Goldie,YP,18.39
19361,Sherrie,PD,26.13
19362,Shaine,UO,73
19363,Dyann,PR,79.55
19364,Catrina,UR,13.85
19365,Cherilyn,NO,25.18
19366,Genovera,ON,42.12
19367,Nadine,YW,33.2
19368,Shandie,GM,92.39
19369,Brianna,KY,27.86
19370,Aimil,GC,85.21
19371,Basia,MO,17.41
19372,Winifred,IW,62.71
19373,Allyce,TT,66.29
19374,Quintina,RD,20.57
19375,Caryl,SV,4.31
19376,Sidoney,US,70.67
19377,Cassondra,WV,57.94
19378,Lindie,IG,52.3
19379,Darlleen,RU,13.04
19380,Dulce,JW,55.48
19381,Dede,AN,42.58
19382,Jacquetta,LX,65.07
19383,Melanie,SJ,64.31
19384,Kara-Lynn,PB,85.11
19385,Zsa Zsa,FF,87.38
19386,Winifred,EH,27.01
19387,Correy,PG,37.28
19388,Tracey,RS,48.82
19389,Mariann,DD,97.46
19390,Lorne,BM,46.55
19391,Maurene,VQ,35.12
19392,Wileen,ER,3.66
19393,Livvyy,QJ,29.37
19394,Annice,JZ,68.22
19395,Tabbatha,GC,94.6
19396,Cam,VR,11.02
19397,Aryn,LY,76.87
19398,Romona,EP,30.28
19399,Carlie,NT,73.24
19400,Doralynne,SQ,38.72
19401,Joelly,OB,93.76
19402,Marita,GT,42.92
19403,Bill,ZQ,81.1
19404,Kial,WM,1.66
19405,Vanessa,XN,50.84
19406,Pearline,BH,30.65
19407,Brianna,XM,5.62
19408,Margarette,IT,18.79
19409,Catharine,ZL,94.76
19410,Glynnis,UA,36.83
19411,Sybille,BI,17.39
19412,Maryellen,KV,98.18
19413,Winifred,KX,98.88
19414,Stevana,GT,83.32
19415,Dominga,CL,55.78
19416,Lindie,ZG,84.4
19417,Marcelline,PV,78
19418,Kathy,TO,79.68
19419,Hildegaard,QM,30.31
19420,Margette,RD,40.27
19421,Chrystel,BQ,4.12
19422,Jsandye,VP,73.46
19423,Genovera,WZ,65.96
19424,Margalo,SY,5.51
19425,Norine,AU,28.98
19426,Raquela,UT,20.65
19427,Molli,GT,94.47
19428,Amelia,TZ,23.6
19429,Gilligan,PP,5.78
19430,Elka,HV,58.95
19431,Gale,JZ,23.11
19432,Paule,XI,46.27
19433,Loree,WK,21.23
19434,Ira,RB,99.74
19435,Diena,NG,97.8
19436,Trixi,OI,82.79
19437,Vivia,HD,26.93
19438,Christian,YX,72.51
19439,Danika,MO,41.99
19440,Valli,JP,41.89
19441,Judy,YU,76.13
19442,Alie,MC,43.14
19443,Maye,GX,25.65
19444,Lauryn,EX,83.95
19445,Melisent,AW,26.71
19446,Aili,UF,74.57
19447,Larine,JS,64.53
19448,Vivia,DL,39.23
19449,Kittie,NX,4.88
19450,Penelopa,DZ,41.54
19451,Isa,OK,55.97
19452,Elsie,LW,37.36
19453,Tiffie,HB,28.01
19454,Aurelie,AI,47.25
19455,Jaime,KQ,69.14
19456,Christal,TJ,44.99
19457,Benita,TN,74.08
19458,Clary,ZN,80.05
19459,Arlena,BF,34.39
19460,Ursulina,BH,74.52
19461,Monika,YX,48.24
19462,Meg,OU,3.02
19463,Susan,BG,38.39
19464,Hermione,II,63.43
19465,Ermengarde,ZJ,50.31
19466,Jan,SJ,84.36
19467,Max,BF,77.18
19468,Corly,SD,22.75
19469,Chrystel,XA,66.87
19470,Ira,NE,49.99
19471,Siana,KT,0.25
19472,Karlee,KI,43.03
19473,Corly,VM,83.85
19474,Arlina,WL,33.91
19475,Flo,OL,27.51
19476,Theodora,AE,88.45
19477,Basia,JW,7.16
19478,Mady,SG,35.56
19479,Katharina,HF,39.64
19480,Jacquetta,AT,67.8
19481,Shel,DD,60.28
19482,Jeanna,HU,35.83
19483,Adelle,NJ,84.88
19484,Concettina,UP,24.57
19485,Maye,TA,55.6
19486,Cassondra,NA,63.25
19487,Romona,TB,37.73
19488,Shauna,HB,51.38
19489,Helena,HX,3.31
19490,Shaylyn,KJ,76.37
19491,Allis,JM,56.71
19492,Brana,AR,94.93
19493,Ottilie,GP,33.47
19494,Karly,FU,15.6
19495,Roxane,YK,36.99
19496,Joy,EV,96.95
19497,Tina,NG,52
19498,Kirstin,XY,45.86
19499,Sam,FT,3.2
19500,Hollie,ZE,61.34
19501,Lila,OG,49.05
19502,Kara-Lynn,GU,77.93
19503,Catrina,QI,14.4
19504,Karly,KZ,94.83
19505,Sandie,MD,46.95
19506,Adriana,UY,19.79
19507,Florencia,HQ,43.62
19508,Sheelagh,LE,95.32
19509,Latisha,LE,54.4
19510,Janeczka,XS,18.23
19511,Britte,BS,87.31
19512,Halette,CL,49.87
19513,Stephanie,FG,34.16
19514,Romona,JR,65.32
19515,Margarette,FK,84.54
19516,Nyssa,LX,39.16
19517,Stacey,VA,100.24
19518,Lenna,NE,63.16
19519,Regina,HR,84.78
19520,Regina,JS,58.27
19521,Maridel,IF,68.23
19522,Cacilie,CO,68.44
19523,Almeta,RK,88.2
19524,Dode,JZ,75.74
19525,Elie,UU,34.64
19526,Jaclyn,MA,65.51
19527,Marti,MJ,73.48
19528,Ronna,ZI,0.87
19529,Adelle,KL,46.85
19530,Tomasina,SH,24.79
19531,Catrina,GD,15.4
19532,Judy,SL,60.19
19533,Neila,AS,59.42
19534,Alisha,KC,72.02
19535,Iseabal,YW,86.81
19536,Kimmy,AR,68.99
19537,Lizzie,GP,95.82
19538,Henriette,MO,34.85
19539,Stevana,DB,30.87
19540,Renae,IR,6.09
19541,Patricia,XJ,68.93
19542,Starla,DJ,3.72
19543,Berget,JK,14.81
19544,Fayre,ZN,17.61
19545,Cam,FM,67.56
19546,Talya,MZ,24.45
19547,Katuscha,HW,0.15
19548,Sallie,PU,3.76
19549,Ericka,FV,48.46
19550,Sonni,SI,20.49
19551,Selma,OT,24.13
19552,Morganica,PJ,46.74
19553,Darlleen,ET,90.82
19554,Alie,NH,39.64
19555,Hermione,TF,7.39
19556,Tani,RQ,71.61
19557,Linet,YZ,99.94
19558,Emylee,EZ,6.2
19559,Lynnea,IF,77.96
19560,Glynnis,EL,64.01
19561,Ilse,WZ,60.62
19562,Viviene,YV,39.27
19563,Aaren,ZB,69.64
19564,Jacquetta,GM,41.49
19565,Dolli,WB,84.98
19566,Sindee,XL,87.86
19567,Amalie,RV,67.56
19568,Joy,CN,74.09
19569,Roberta,BK,40.42
19570,Charissa,LP,91.01
19571,Caritta,RR,11.75
19572,Marsiella,KF,66.64
19573,Modestia,HH,8.06
19574,Paola,FQ,71.92
19575,Marline,VO,79.71
19576,Jenilee,II,72.48
19577,Leanna,OH,0.12
19578,Elfreda,ZJ,56.71
19579,Hettie,YW,15.5
19580,Kristan,RW,77.39
19581,Kial,NT,61.22
19582,Hollie,LV,16.65
19583,Claudina,NE,86.98
19584,Darci,FT,3.96
19585,Orsola,WD,34.89
19586,Chrystel,JI,67.48
19587,Stephanie,UZ,44.78
19588,Cathie,MK,52.03
19589,Abbie,KC,8.79
19590,Mildrid,AY,44.66
19591,Vonny,PP,26
19592,Helsa,JA,31.03
19593,Zaria,TB,94.67
19594,Sissy,YC,53.72
19595,Ursulina,GL,80.94
19596,Brynna,QD,35.3
19597,Margette,JK,77.16
19598,Gilda,IM,63.29
19599,Kittie,XX,100.7
19600,Betta,YS,97.11
19601,Audrie,SL,8.97
19602,Georgetta,KG,25.68
19603,Bettine,QN,35.51
19604,Tomasina,NX,4.85
19605,Roseline,JD,2.59
19606,Sissy,EK,58.54
19607,Emylee,WL,78.78
19608,Hope,HZ,14.81
19609,Marylou,XL,31.51
19610,Kalina,ZH,53.65
19611,Amelia,PW,98.01
19612,Nerta,LP,48.68
19613,Delilah,ST,68.33
19614,Zaria,XX,4.76
19615,Katharina,YN,18.18
19616,Monika,NB,19.98
19617,Yvonne,BM,56.35
19618,Kimberley,EY,76.5
19619,Pearline,GO,82.96
19620,Cristabel,SW,98.39
19621,Ketti,IQ,37.64
19622,Dede,SB,49.1
19623,Yolane,XC,44.45
19624,Betta,DS,79.77
19625,Clarice,TN,18.86
19626,Marcelline,PP,31.89
19627,Wynne,PM,68.62
19628,Averyl,NY,26.86
19629,Barbara,GS,53.4
19630,Doralynne,XY,24.03
19631,Darci,LZ,10.43
19632,Kristina,AF,42.9
19633,Lenna,DQ,38.32
19634,Ezmeralda,BE,47.61
19635,Daphne,LJ,95.46
19636,Anica,RS,10.41
19637,Shell,MR,54.27
19638,Brynna,RH,22.18
19639,Marguerite,FZ,40.7
19640,Genevra,CD,10.7
19641,Andree,RJ,77.63
19642,Shell,JP,71.36
19643,Charmaine,GX,65.41
19644,Linet,WP,19.88
19645,Daune,CG,86.56
19646,Britni,OM,33.01
19647,Leontine,QK,39.28
19648,Annaliese,PZ,12.02
19649,Sara-Ann,UJ,0.53
19650,Tonia,LV,74.03
19651,Dennie,EQ,38.4
19652,Margette,ZK,87.69
19653,Alameda,ND,13.79
19654,Tatiania,FM,35.02
19655,Dorothy,RV,70.21
19656,Melina,NG,84.36
19657,Hettie,PM,72.71
19658,Priscilla,YP,41.71
19659,Sadie,TW,0.83
19660,Lila,AJ,27.13
19661,Hannis,GL,78.11
19662,Corene,AQ,15.5
19663,Collen,MS,79.22
19664,Sonni,IK,98.44
19665,Alyda,LS,34.2
19666,Magdalena,KR,96.19
19667,Penelopa,XZ,62.67
19668,Carmencita,SJ,24.52
19669,Aubrie,VC,46.34
19670,Viviene,ZK,84.24
19671,Jordan,TJ,59.09
19672,Alia,EQ,54.42
19673,Jere,JZ,38.89
19674,Robinia,PO,64.46
19675,Feliza,XB,31.41
19676,Olivette,QR,73.91
19677,Mary,XH,61.02
19678,Donetta,AD,10.58
19679,Quintina,RW,64.16
19680,Babita,JP,48.37
19681,Aryn,ZR,86.12
19682,Selia,ZH,89.44
19683,Daryl,HL,27.22
19684,Bernardine,PF,86.05
19685,Jsandye,TK,3.69
19686,Georgina,OS,20.77
19687,Hettie,UR,52.56
19688,Ira,QZ,96.83
19689,Dorene,HW,92.1
19690,Lolita,CJ,16.78
19691,Peri,US,25.24
19692,Doro,KJ,17.69
19693,Averyl,UL,82.6
19694,Teddie,IT,49.92
19695,Tomasina,JG,54.64
19696,Bee,PR,58.52
19697,Kate,UX,5.88
19698,Linzy,II,95.99
19699,Karolina,KQ,27.96
19700,Laure,NJ,66.05
19701,Sandie,GU,77.95
19702,Adele,EM,95.9
19703,Nariko,FG,53.22
19704,Bettine,EY,96.87
19705,Mignon,PP,22.8
19706,Sheree,YA,11.55
19707,Gisela,UQ,7.4
19708,Ingrid,MB,32.05
19709,Imojean,RS,13.04
19710,Farrah,SV,70.64
19711,Riannon,AP,34.95
19712,Krystle,YG,78.47
19713,Taffy,MM,86.43
19714,Marinna,PU,97.81
19715,Ebonee,FA,4.72
19716,Betta,WK,57.7
19717,Calla,XQ,5.74
19718,Ellette,AL,2.67
19719,Madalyn,BC,19.73
19720,Donetta,VZ,30.37
19721,Georgina,DI,45.94
19722,Allis,VR,21.93
19723,Charmaine,WJ,49.84
19724,Sybille,BC,11.69
19725,Ofilia,KT,60.84
19726,Elise,GU,84.12
19727,Kimmy,UJ,68.24
19728,Dolli,ZV,73.69
19729,Mahalia,LE,37.58
19730,Alleen,MO,74.68
19731,Donnie,UW,52.27
19732,Leontine,LY,31.94
19733,Aurelie,UR,20.17
19734,Alyda,MJ,64.5
19735,Dawn,OI,46.6
19736,Ofilia,UX,100.3
19737,Mireielle,MU,73.85
19738,Paola,DB,82.43
19739,Brynna,BB,96.49
19740,Allyce,WC,75.98
19741,Yolane,MI,35.38
19742,Pollyanna,AN,66.13
19743,Marinna,QD,75.2
19744,Valera,EK,47.06
19745,Kara-Lynn,LI,76.92
19746,Kamilah,YA,54.98
19747,Sharlene,UE,90.73
19748,Audrie,AM,41.1
19749,Tatiania,SH,74.99
19750,Carilyn,FZ,41.62
19751,Ulrike,LE,32.49
19752,Kate,WK,96.77
19753,Janis,SQ,23.63
19754,Sharlene,MG,11.96
19755,Dorice,RB,60.01
19756,Stephanie,QX,55.77
19757,Paola,BH,92.93
19758,Selia,JS,87.33
19759,Margarette,IB,68.76
19760,Krystle,TH,93.21
19761,Dorice,AU,51.08
19762,Corene,JD,37.16
19763,Carmela,PG,38.54
19764,Tonia,TG,36
19765,Nickie,LE,85.94
19766,Ardys,EP,13.7
19767,Dale,DO,0.25
19768,Hildegaard,VK,85.08
19769,Chandra,QK,10.16
19770,Tamqrah,LY,52.11
19771,Ana,DH,0.73
19772,Minne,ZB,64.11
19773,Ayn,QG,29.74
19774,Barbi,RY,23.22
19775,Vonny,HK,36.65
19776,Elyssa,DG,53.3
19777,Elbertina,QA,91.34
19778,Dorthy,ZO,81
19779,Donetta,UK,31.24
19780,Teriann,IS,50.46
19781,Yvonne,QZ,88.32
19782,Hyacinthe,MD,32.18
19783,Lelah,TR,91.59
19784,Sue,XJ,81.17
19785,Juliane,PO,3.51
19786,Shandie,EZ,13.03
19787,Melina,TB,29.58
19788,Nikki,YM,79.5
19789,Kerrin,RO,48.41
19790,Cecile,IV,51.56
19791,Ethel,AT,69.88
19792,Tamqrah,CY,58.26
19793,Tarra,PP,7.51
19794,Catharine,GJ,28.52
19795,Loree,SG,46.36
19796,Rozele,LC,39.57
19797,Pamella,VX,54.88
19798,Cherrita,PS,39.07
19799,Tina,EE,53.7
19800,Charmaine,WD,1.71
19801,Carol-Jean,AX,97.23
19802,Philis,XH,0.9
19803,Marjie,NY,81.2
19804,Annaliese,WU,37.39
19805,Xylina,UW,75.67
19806,Melisent,OD,35.18
19807,Annice,XY,23.7
19808,Philis,DR,76.13
19809,Karly,YA,87.03
